, Instrument, Amount, Value, Avg. Price, Avg. Price (USD), Mark Price, ROI, PNL, PNL (USD), IM, MM, Contingency, Net Delta, Gamma, Vega, Theta, Rho, IV, Actions
, BTC-18AUG23-30000-C, -1, -, 0.0129, 0.0129, 0.013, 0.7751937984496077, -0.0000999999999999994, -2.9547649999999823, 0, 0, -, -0.37445124846141825, -0.0002679302020035972, -16.715765670796948, -, -, 33.13, -
, BTC-27OCT23-30000-C, 1, -, 0.0659, 0.0659, 0.066, 0.15174506828528506, 0.00010000000000000286, 2.9951468500000855, 0, 0, -, 0.4635468569464017, 0.00010550053173634441, 55.07300346986972, -, -, 36.26, -
